"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Predicting Student Academic Performance using Machine Learning: Analyzing Socio-Economic and Personal Factors from Secondary Education in Portugal","S. Sahu; A. Kumar; R. Kumar; A. Shukla; V. Chole; J. Moolchandani","Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India; Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Gwalior, Madhya Pradesh, India",2024 4th International Conference on Technological Advancements in Computational Sciences (ICTACS),"21 Jan 2025","2024","","","1982","1986","This paper aims to predict student academic performance using machine learning algorithms by analyzing socioeconomic and personal factors from secondary education in Portugal. The study utilizes a dataset containing demographics, family background, educational support, extra-curricular activities, and academic records to evaluate their impact on students' success in Mathematics and Portuguese courses. Machine learning models such as Logistic Regression, Decision Trees, and Random Forests were employed to analyze the data. The Random Forest model outperformed others with an accuracy of 85 %, indicating significant potential in predicting student performance using the selected features.","","979-8-3503-8749-0","10.1109/ICTACS62700.2024.10841127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10841127","Student Performance;Machine Learning;SocioEconomic Factors;Random Forest;Educational Data Mining","Analytical models;Logistic regression;Machine learning algorithms;Soft sensors;Education;Psychology;Predictive models;Mathematical models;Socioeconomics;Random forests","","","","11","IEEE","21 Jan 2025","","","IEEE","IEEE Conferences"
"Fundamental Changes in Mathematics Education in the Context of Digital Transformation","V. Kondratiev","Institute of Education, Higher School of Economics, Moscow, Russia",2020 Ivannikov Ispras Open Conference (ISPRAS),"12 Apr 2021","2020","","","75","77","The paper examines the relationship between the global process of digital transformation and technological solutions in teaching a modern mathematics course. We explore the possibilities of forming digital literacy through the active use of digital means, tools and resources (including general-use ones) in the school mathematics curriculum.","","978-1-6654-1291-9","10.1109/ISPRAS51486.2020.00018","Russian Foundation for Basic Research(grant numbers:19-29-14202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394073","digital technologies in education;artificial intelligence in education;competence-based personalized learning;mathematics education;digital competence;digital literacy;digital ethics;digital culture","Digital transformation;Education;Tools;Mathematics","","1","","7","IEEE","12 Apr 2021","","","IEEE","IEEE Conferences"
"Predicting Students’ State Examination Results based on Previous Grades and Demographics","A. Pentel; L. -L. Kaiva","Virumaa College Taltech, Kohtla-Järve, Estonia; Toila Gymnaasium, Toila, Estonia","2020 11th International Conference on Information, Intelligence, Systems and Applications (IISA","11 Dec 2020","2020","","","1","6","All Estonia's upper-secondary school students have three mandatory final state examinations - in mathematics, Estonian language and foreign language. We used data obtained from one school in order to predict student's final examination scores based on previous grades and demographic data. Our aim was to find most important factors that contribute positively to final results and vice versa. Machine learning package Weka was used to build predictive models and with all tested attribute sets we got accuracy over 80% on classification. On continuous models we got mean absolute error close or less to 10, when range of test result was 0-100 points. Most of our attributes were subject grades on scale 1-5, and therefore, as we limited our testing sample with one school only, it gave interesting insights into how some subjects and teachers do contribute to final test results. And, surprisingly, it turned out, that for some test result, most significant predictor was negatively correlated to the result. It means that having bad grades in some subjects was a good predictor of success in final test. Besides being a useful tool for students who want to estimate possible test results beforehand, it is also a useful tool for measuring teachers' contributions and relationships between different subjects.","","978-1-6654-2228-4","10.1109/IISA50023.2020.9284401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284401","learning analytics;machine learning;final test result prediction","Machine learning;Predictive models;Tools;Data models;Mathematics;Numerical models;Testing","","4","","14","IEEE","11 Dec 2020","","","IEEE","IEEE Conferences"
"The Development of Individualized Assignment Generator","R. R. Zaripova; A. V. Danilov; L. L. Salekhova; T. R. Fazliakhmetov","The Dept. of Bilingual and Digital Education, Kazan Federal University, Kazan, Russian Federation; The Dept. of Bilingual and Digital Education, Kazan Federal University, Kazan, Russian Federation; The Dept. of Bilingual and Digital Education, Kazan Federal University, Kazan, Russian Federation; The Dept. of Bilingual and Digital Education, Kazan Federal University, Kazan, Russian Federation",2024 17th International Conference on Development in eSystem Engineering (DeSE),"11 Mar 2025","2024","","","521","525","The article discusses the development of a system that uses artificial intelligence (AI) to generate individualized mathematics assignments for bilingual students in Tatarstan, Russia. The goal is to enhance learning by tailoring assignments to students’ linguistic preferences, cognitive styles, and knowledge levels. The system employs machine learning techniques and GPT-based models to create personalized tasks that align with curriculum goals while addressing linguistic diversity, particularly for Tatar-Russian bilinguals. The study evaluates several large language models (LLMs), including GPT-4, GPT-3.5 Turbo, YandexGPT, and GigaChat, based on their ability to generate math problems and content in the Tatar language. While GPT-4 and GPT-3.5 Turbo show superior performance in producing accurate and semantically correct problems, their proficiency in Tatar remains inconsistent. The research underscores the need for further development of LLMs to enhance content generation for bilingual educational contexts and highlights the potential of AI in advancing adaptive learning for mathematics education. Future directions include expanding the system’s functionality and testing its effectiveness across diverse educational settings.","","979-8-3503-6869-7","10.1109/DeSE63988.2024.10911947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911947","Natural Language Processing;Bilingual Education;Adaptive Learning;Large Language Models;Tatar-Russian Bilingualism","Adaptive learning;Adaptation models;Large language models;Semantics;Machine learning;Linguistics;Mathematical models;Natural language processing;Optimization;Testing","","","","13","IEEE","11 Mar 2025","","","IEEE","IEEE Conferences"
"Providing female role models in STEM higher education careers, a teaching experience","E. Calvo-Iglesias; E. C. García; M. Fernández-Delgado","Dept. of Física Aplicada, University of Santiago de Compostela, Santiago de Compostela, Spain; CITIUS, University of Santiago de Compostela, Santiago de Compostela, Spain; CITIUS, University of Santiago de Compostela, Santiago de Compostela, Spain",2022 XII International Conference on Virtual Campus (JICV),"16 Nov 2022","2022","","","1","4","Women are still underrepresented in science, technology, engineering, and mathematics (STEM) careers, not only in Spain but also in many Western and European countries. Female role models are key to broadening participation in STEM fields, which is why our teaching innovation group has been involved in initiatives to promote female vocations in STEM aimed at non-university education. In this paper we present different initiatives to provide female references to the students of the bachelor’s degree in Mathematics, Chemical Engineering, and master’s degree in computer vision. With these initiatives we aim to contribute to empowering female students of these degrees and to break with the sexist stereotypes that persist in our society. The activities have been well received by the students so we will continue with them in the next courses.","","978-1-6654-5106-2","10.1109/JICV56113.2022.9934681","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9934681","STEM;gender perspective;higher education;SDG 5","Visualization;Technological innovation;Engineering profession;Education;Chemical engineering;Teamwork;Programming profession","","2","","22","IEEE","16 Nov 2022","","","IEEE","IEEE Conferences"
"A Human-Centered Learning and Teaching Framework Using Generative Artificial Intelligence for Self-Regulated Learning Development Through Domain Knowledge Learning in K–12 Settings","S. -C. Kong; Y. Yang","Department of Mathematics and Information Technology, the Education University of Hong Kong, Hong Kong, SAR, China; Department of Mathematics and Information Technology, the Education University of Hong Kong, Hong Kong, SAR, China",IEEE Transactions on Learning Technologies,"7 May 2024","2024","17","","1562","1573","The advent of generative artificial intelligence (AI) has ignited an increase in discussions about generative AI tools in education. In this study, a human-centered learning and teaching framework that uses generative AI tools for self-regulated learning development through domain knowledge learning was proposed to catalyze changes in educational practices. The framework illustrates how generative AI tools can revolutionize educational practices and transform the processes of teaching and learning to become human-centered. It emphasizes the evolving roles of teachers, who increasingly become skillful facilitators and humanistic storytellers who craft differentiated instructions and attempt to develop students’ individualized learning. Drawing upon insights from neuroscience, the framework guides students to employ generative AI tools to augment their attentiveness, stimulate active engagement in learning, receive immediate feedback, and encourage self-reflection. The pedagogical approach is also reimagined; teachers equipped with generative AI tools and AI literacy can refine their teaching strategies to better equip students to meet future challenges. The practical application of the framework is demonstrated in a case study involving the development of Chinese language writing ability among primary students within a K–12 educational context. This article also reports the results of a 60-h development programme for teachers. Specifically, providing in-service teachers with cases involving uses of the proposed framework helped them to better understand the generative AI concepts and integrate them into their teaching and learning and increased their perceived ability to design AI-integrated courses that would enhance students’ attention, engagement, confidence, and satisfaction.","1939-1382","","10.1109/TLT.2024.3392830","Research Grants Council, University Grants Committee of the Hong Kong Special Administrative Region, China(grant numbers:EdUHK CB326,CB357); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10507034","Generative artificial intelligence;human-centered;learning and teaching framework;pedagogical design;self-regulated learning (SRL)","Generative AI;Education;Artificial intelligence;Learning (artificial intelligence);Guidelines;Task analysis;Transformers","","11","","51","CCBY","23 Apr 2024","","","IEEE","IEEE Journals"
"Study on the Application of Artificial Intelligence Technology in Empowering Education : Taking ""Intelligent Learning Partner"" as an Example","X. Li; Z. Ma; Y. Tu; Y. Du","School of Educational Technology, Beijing Normal University, Beijing, China; School of Mathematics Sciences, Beijing Normal University, Beijing, China; School of Education, Communication and Society, King’s College London, London, the United Kingdom; School of Mathematics Sciences, Beijing Normal University, Beijing, China",2021 2nd International Conference on Information Science and Education (ICISE-IE),"29 Mar 2022","2021","","","1449","1453","With the rapid development of artificial intelligence technology, society has entered an era where artificial intelligence is integrated with all aspects of life, and the impact of artificial intelligence on education has attracted more attention. How does artificial intelligence technology development and what are key technologies integrated with education? And its current development status in the field of education. This article takes the ""Smart Learning Partner"", an educational product that integrates several number of smart technologies from the Beijing Normal University Future Education Advanced Innovation Center, as an example, and its three application cases in teaching practice: 1. Hybrid based on ""Smart Learning Partner"" The exploration and analysis of the model teaching model, 2. ""Smart Study Partner "" to promote the exploration of the precision teaching of junior high school history, 3. The construction and application model research of the discipline ability development evaluation learning and teaching system.","","978-1-6654-3829-2","10.1109/ICISE-IE53922.2021.00323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742502","artificial intelligence;education;technology;""Smart Learning Partner""","Analytical models;Technological innovation;Information science;Education;Learning (artificial intelligence);IEEE educational products;History","","1","","14","IEEE","29 Mar 2022","","","IEEE","IEEE Conferences"
"A study on the correlation between information technology and mathematics achievement in senior high school","M. Xu; D. Liu","Computer and Information Engineering, Henan Normal University, Xinxiang, China; Computer and Information Engineering, Henan Normal University, Xinxiang, China",Fourth International Conference on Computer Science and Educational Informatization (CSEI 2022),"22 Nov 2022","2022","2022","","214","219","Information technology courses shoulder the important responsibility and mission of cultivating students with information literacy. In this paper, according to the design of the questionnaire and in-depth practice of senior high school information technology core literacy, the score of subject ability to carry out correlation analysis and regression analysis of information technology and mathematics scores. The analysis results show that there is a significant correlation between information technology and mathematics, and the correlation between information technology and ordinary classes is greater than that of key classes, which proves that it is necessary to carry out curriculum integration in information technology and mathematics.","","978-1-83953-788-2","10.1049/icp.2022.1475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9957016","","","","","","","","22 Nov 2022","","","IET","IET Conferences"
"National center for digital transformation of education","D. Šveda; V. Hubeňáková; K. Kozelková; K. Lukáčová; A. Mišianiková; V. Ondová; M. Filčáková; J. Kozáková; M. Kireš","Institute of Mathematics, Košice, Slovakia; Institute of Mathematics, Košice, Slovakia; Institute of Physics, Košice, Slovakia; Lifelong Learning Centre & Projects Support, Košice, Slovakia; Institute of Biology and Ecology, Košice, Slovakia; Lifelong Learning Centre & Projects Support, Košice, Slovakia; Lifelong Learning Centre & Projects Support, Košice, Slovakia; Lifelong Learning Centre & Projects Support, Košice, Slovakia; Institute of Physics, Košice, Slovakia",2023 21st International Conference on Emerging eLearning Technologies and Applications (ICETA),"12 Dec 2023","2023","","","507","518","The demands for competences necessary for the success of a graduate in today's rapidly changing world point to the need for inevitable changes in education. These changes should reflect the development of 21st century competencies, including digital competencies, at all levels of education. The development of digital competences and preparation for the life of a graduate in the digital age is conditioned by the digital transformation of the school. This effective and meaningful digital transformation at schools should be based on the consistent preparation of an action plan in accordance with the vision of the school, the implementation and subsequent evaluation of the action steps. The school digital coordinator became the leader of the digital transformation in primary and secondary schools in Slovakia. Innovative training of digital coordinators, implemented support in the form of online clubs and face- to-face meetings pointed to the necessity of continued, targeted support at the national level. For this purpose, the National Center for the Digital Transformation of Education was established. The aim of the national center, in addition to providing innovative education for the position of school digital coordinator, is also innovative education for school principals focused on the leadership competencies necessary for effective team management and management of the change process. The activities of the center will also include meetings with principals and digital coordinators, individual consultations and online webinars reflecting the needs of the community supporting the digital transformation of the school and teachers. Moreover, the target group is also pedagogical and professional staff, primary and secondary school pupils, students at universities. One of the priorities of the national center is high-quality research and subsequent management in the field of digital transformation of education.","","979-8-3503-7069-0","10.1109/ICETA61311.2023.10344130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10344130","","Training;Pathology;Leadership;Electronic learning;Digital transformation;Education;Web conferencing","","","","17","IEEE","12 Dec 2023","","","IEEE","IEEE Conferences"
"A Review: Predicting Student Success at Various Levels of their Learning Journey in a Science Programme","J. G. Khanyisa Mabunda; A. Jadhav; R. Ajoodha","School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa; Faculty of Science, The University of the Witwatersrand, Johannesburg, South Africa; School of Computer Science and Applied Mathematics, The University of the Witwatersrand, Johannesburg, South Africa","2021 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)","14 May 2021","2021","","","1","5","This paper examines how features affect student persistence or dropout at South African higher education institutions, based on three previous studies. In the previous studies, high school grades were used as a valid predictor of student success. The quality of a high school's learning environment has an effect on almost every aspect of higher education success. Students who are better prepared coming out of high school are ideally suited to do well in higher education institutions, who they are, how much money they have, and where they go don't matter. This review aims to identify effective features that warrant student success from high school grades and choice of academic courses during registration in higher education. The following questions are used to guide this review: How can we define student success? Which features should we focus on? Which models work? Based on data mining techniques such as machine learning models that the previous studies have used to predict student success, it has been revealed that the most important features that influence student success in a Computer Science programme are Prior Computer experience, Mathematics, English from High school and the choice of a course.","","978-1-6654-4067-7","10.1109/IEMTRONICS52119.2021.9422519","National Research foundation of South Africa(grant numbers:121835); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9422519","Student success;Prediction;Higher Education;Machine Learning","Computer science;Mechatronics;Computational modeling;Conferences;Education;Machine learning;Predictive models","","1","","15","IEEE","14 May 2021","","","IEEE","IEEE Conferences"
